model_id,layer,conflict_type_idx,metric,n,roc_auc
Qwen/Qwen3.5-4B,12,7,log_offaxis_ratio,90,0.5203373015873016
Qwen/Qwen3.5-4B,12,7,offaxis_fraction,90,0.6423611111111112
Qwen/Qwen3.5-4B,12,8,position_t,93,0.6032547699214366
Qwen/Qwen3.5-4B,12,8,log_offaxis_ratio,93,0.5415263748597081
Qwen/Qwen3.5-4B,12,8,offaxis_fraction,93,0.5443322109988777
Qwen/Qwen3.5-4B,12,9,position_t,69,0.4884615384615384
Qwen/Qwen3.5-4B,12,9,log_offaxis_ratio,69,0.29615384615384616
Qwen/Qwen3.5-4B,12,9,offaxis_fraction,69,0.4115384615384615
Qwen/Qwen3.5-4B,13,1,position_t,95,0.636933461909354
Qwen/Qwen3.5-4B,13,1,log_offaxis_ratio,95,0.5453230472516877
Qwen/Qwen3.5-4B,13,1,offaxis_fraction,95,0.49469623915139826
